,FID,FID_1,OBJECTID,Parcel_ID,area_m2,image,panoId,EC_id,confidence,col,bottom_row,top_row,FFE_gsv_m,delta_h,distance,sink_dista,camera_h,camera_dem,phi,pano_lat,pano_lon,target_lat,target_lon,image_date,edge,is_lowest_,SFHA_TF,STATIC_BFE,Under_fld,area_m2,area_ft2,FFE_gsv_m,FFE_gsv_ft,STATIC_BFE,FFE_need_Elevate,FFE_elevation_ft,BFE_MINUS_FFE,galveston_building_systems_location_factor_2021,galveston_area_modification_factor_2015,construction_index_2015,construction_index_1998,rsmeans_construction_index_2015,rsmeans_construction_index_2021,ENR_BCI_index_2015,ENR_BCI_index_2021,PCI_Family_house_construction_1998,PCI_Family_house_construction_2015,PCI_Family_house_construction_2021,cost_1998,cost_2015,cost_2021_RSMeans,cost_2021_ENR_BCI,cost_2021_PCI_Family_house,is_residential
35,35,802,402721,2965-0045-0018-001,86.8186035,15923_29.2873315_-94.8257945_0_13.70.jpg,mI1q-8-0Znpj2C_Ci45LMQ,15923,0.280273,398,542,379,3.550522198,1.438403,17.84878182,-1.98017777,3.41858077,2.112119198,0.010117416,29.2873315,-94.8257945,29.28748756,-94.82574919,2013,Not_at_edge,Y,T,11,N,86.8186035,934.5076706,3.550522198,11.64869488,11,N,0,-0.648694875,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
36,36,803,402722,6174-0000-0004-000,220.7850037,15817_29.2874106_-94.8218672_0_311.52.jpg,hGpwLpM9uerdQThSqs52VQ,15817,0.76123,204,524,379,3.738293051,1.48320806,20.22028117,-1.960004449,3.443212509,2.255084991,-0.124603419,29.2874106,-94.8218672,29.28751361,-94.82203894,2013,Not_at_edge,Y,T,11,N,220.7850037,2376.510001,3.738293051,12.26474098,11,N,0,-1.264740981,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
37,37,329,402205,5463-0000-0003-000,163.4179993,13109_29.2951178_-94.816963_0_315.77.jpg,nXk5X5lCFudeefNJ9X5L3A,13109,0.896484,74,456,280,3.619982282,1.730732361,16.90943323,-0.830457767,2.561190128,1.889249921,-0.212364288,29.2951178,-94.816963,29.29520223,-94.81710795,2020,Not_at_edge,Y,T,12,Y,163.4179993,1759.016705,3.619982282,11.87658229,12,Y,0.12341771,0.12341771,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,29903.28398,54541.77041,62331.04771,57297.73756,62545.05756,Y
38,38,339,402224,5463-0000-0028-000,132.4340057,13272_29.294864_-94.8179709_0_194.77.jpg,TOmRj6TrC0eLD_3mLgDoPQ,13272,0.830078,380,478,291,3.384687286,1.443941813,15.64091889,-1.025913257,2.46985507,1.940745473,-0.002442084,29.294864,-94.8179709,29.29472746,-94.81801156,2020,Not_at_edge,Y,T,12,Y,132.4340057,1425.507773,3.384687286,11.10461708,12,Y,0.89538292,0.89538292,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,24233.63215,44200.67046,50513.10359,46434.10723,50686.53726,Y
39,39,363,402248,3505-0353-0008-002,114.7360001,13659_29.2932317_-94.8271041_0_220.90.jpg,MiaY_2Rl_PItWtdYEEXI-w,13659,0.799316,47,336,216,5.086402166,3.214567649,24.69694846,0.788513887,2.426053762,1.871834517,-0.230626602,29.29323169,-94.82710405,29.29303439,-94.82722215,2019,Not_at_edge,Y,T,12,N,114.7360001,1235.008027,5.086402166,16.68767115,12,N,0,-4.687671148,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
40,40,849,402768,2715-0002-0020-000,163.1390076,15946_29.2873336_-94.8390718_0_213.73.jpg,#NAME?,15946,0.909668,124,305,204,5.05122929,3.883629493,28.98557471,1.552366428,2.331263065,1.167599797,-0.179134239,29.28733356,-94.83907176,29.28709368,-94.83919055,2019,Not_at_edge,Y,T,12,N,163.1390076,1756.013663,5.05122929,16.57227457,12,N,0,-4.572274573,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
42,42,288,400550,2965-0109-0013-000,600.9699707,16829_29.2855862_-94.8143153_0_181.23.jpg,ucnG9epJdHKs1BgzvFnyHQ,16829,0.579102,615,423,383,3.062788273,0.471540953,73.6730599,-1.979266857,2.45080781,2.59124732,0.160153461,29.2855862,-94.8143153,29.28493246,-94.81445225,2021,Not_at_edge,Y,T,10,N,600.9699707,6468.786928,3.062788273,10.04851796,10,N,0,-0.048517956,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
44,44,145,400407,5867-0005-0036-000,608.1810303,3908_29.2160531_-94.9459719_0_182.31.jpg,LtVAAM1vOwridMxhPEBFYw,3908,0.34375,146,618,426,2.179638798,0.83825248,15.35878902,-2.47406656,3.31231904,1.341386318,-0.164231247,29.21605313,-94.94597193,29.21591562,-94.94595241,2013,Not_at_edge,Y,T,12,Y,608.1810303,6546.406127,2.179638798,7.151045925,12,Y,4.848954075,4.848954075,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,125276.712,228497.0997,261129.4704,240042.9387,262026.0426,Y
45,45,108,400370,2964-0002-0003-000,604.8359985,19619_29.2777011_-94.8171182_0_13.87.jpg,Tct0FYfoPEwI4HavZw22Zg,19619,0.750977,515,492,351,5.03242253,1.838710296,20.86665664,-1.565997136,3.404707432,3.193712234,0.091156465,29.2777011,-94.8171182,29.277879,-94.81704796,2013,Not_at_edge,Y,F,-9999,NoData,604.8359985,6510.400505,5.03242253,16.5105726,-9999,N,0,-10015.51057,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,0,0,0,0,0,Y
48,48,118,400380,5555-0004-0014-000,705.0640259,20500_29.2734452_-94.8360579_0_305.23.jpg,p0jzF-qJer9R2BEWCS54AQ,20500,0.532227,228,457,405,1.647104485,-0.404177921,56.27471673,-2.849811094,2.445633173,2.051282406,-0.108082645,29.2734452,-94.8360579,29.27369163,-94.83656418,2021,Not_at_edge,Y,T,11,Y,705.0640259,7589.246013,1.647104485,5.403886106,11,Y,5.596113894,5.596113894,0.838,1.1,207.1,124.9,88.8,121.1,89.9,112.7,72.5,114,156,149486.027,272653.4172,311591.8869,286430.4518,312661.7186,Y
