FID,FID_1,OBJECTID,Parcel_ID,area_m2,image,panoId,EC_id,confidence,col,bottom_row,top_row,FFE_gsv_m,delta_h,distance,sink_dista,camera_h,camera_dem,phi,pano_lat,pano_lon,target_lat,target_lon,image_date,edge,is_lowest_,SFHA_TF,STATIC_BFE,Under_fld
7527,26007,561263,4198-0003-0001-000,197.7460022,26008_29.1832927_-94.9778833_0_144.60.jpg,KeI3eLcQJ4RTmbuWtuTAkQ,26008,0.788574000000000,338,250,94,7.712771990000000,5.723961093000000,18.657962260000001,1.730709292000000,3.993251801000000,1.988810897000000,-0.031390116000000,29.183292739999999,-94.977883280000000,29.183158649999999,-94.977767310000004,2008,Not_at_edge,Y,T,13.000000000000000,N
7528,26010,561266,4188-0002-0002-000,159.7469940,26011_29.1829975_-94.9754303_0_309.62.jpg,cEFFdlx08UfhCCPb4KY7cw,26011,0.279053000000000,476,413,275,5.399001972000000,3.017552511000000,21.125027809999999,-0.426599606000000,3.444152117000000,2.381449461000000,0.064455799000000,29.182997499999999,-94.975430299999999,29.183128239999998,-94.975588329999994,2016,Not_at_edge,Y,T,14.000000000000000,N
7529,26012,561268,4198-0002-0007-000,150.6889954,26013_29.1832856_-94.9764432_0_129.49.jpg,BMBJM3gbkvouExMCyXW0Jg,26013,0.269287000000000,668,381,211,5.354812329000000,3.471943920000000,17.445795210000000,0.035821264000000,3.436122656000000,1.882868409000000,0.195636227000000,29.183285609999999,-94.976443160000002,29.183163810000000,-94.976329550000003,2013,Not_at_edge,Y,T,13.000000000000000,N
7530,26019,561275,4198-0002-0013-000,106.8389969,26020_29.1828124_-94.9772149_0_324.77.jpg,lPoHT0ALk25rOVjpO4D6Yw,26020,0.890137000000000,95,407,244,5.190828482000000,3.155022541000000,18.319540470000000,-0.288209995000000,3.443232536000000,2.035805941000000,-0.198990851000000,29.182812400000000,-94.977214900000007,29.182925900000001,-94.977351819999996,2013,Not_at_edge,Y,T,13.000000000000000,N
7531,26024,561280,4198-0001-0008-000,140.1450043,26025_29.1826659_-94.9759675_0_325.36.jpg,ydNLAvLRO5cRQUfcRtsGyQ,26025,0.623535000000000,363,421,259,5.222523646000000,2.962050156000000,17.959870259999999,-0.476170107000000,3.438220263000000,2.260473490000000,-0.014303760000000,29.182665900000000,-94.975967499999996,29.182797879999999,-94.976074620000006,2016,Not_at_edge,Y,T,14.000000000000000,N
7532,26036,561292,4198-0001-0010-000,104.8410034,26039_29.1823916_-94.9764235_0_357.63.jpg,zwjbJFeUi-SGm7_YRf4Amw,26039,0.596191000000000,552,541,429,2.915990206000000,0.711507651000000,26.155120040000000,-2.863747266000000,3.575254917000000,2.204482555000000,0.117383387000000,29.182391599999999,-94.976423499999996,29.182626890000002,-94.976403079999997,2016,Not_at_edge,Y,T,14.000000000000000,Y
7533,26038,561294,4198-0001-0011-000,136.5670013,26037_29.1824986_-94.9762389_0_295.48.jpg,ZIrEw1h5K2HpoIyJOIx0Bg,26037,0.331055000000000,172,397,298,5.384485162000000,3.208142436000000,29.407268699999999,-0.284198129000000,3.492340565000000,2.176342726000000,-0.146523922000000,29.182498599999999,-94.976238899999998,29.182576550000000,-94.976527890000000,2016,Not_at_edge,Y,T,14.000000000000000,N
7534,26044,561300,4198-0001-0012-000,135.2669983,26045_29.1822855_-94.9766058_0_339.62.jpg,A6gd2lmb7Z2TofuByfHSYg,26045,0.288086000000000,342,574,452,2.556702422000000,0.343107747000000,23.855990230000000,-3.161480857000000,3.504588604000000,2.213594675000000,-0.028949715000000,29.182285499999999,-94.976605800000002,29.182485000000000,-94.976697830000006,2016,Not_at_edge,Y,T,14.000000000000000,Y
7535,26046,561302,4198-0001-0013-000,129.8789978,26031_29.1828686_-94.9771207_0_145.22.jpg,iogHVx-rBPI8S93Lks02Wg,26031,0.475586000000000,553,459,404,2.590772315000000,0.584963246000000,53.263365530000002,-2.805089311000000,3.390052557000000,2.005809069000000,0.117727458000000,29.182868599999999,-94.977120700000000,29.182444440000001,-94.976863330000000,2013,Not_at_edge,Y,T,14.000000000000000,Y
7536,26047,561303,4198-0001-0006-000,128.8569946,26049_29.1824986_-94.9762389_0_130.48.jpg,ZIrEw1h5K2HpoIyJOIx0Bg,26049,0.272217000000000,226,501,396,3.387359079000000,1.211016353000000,27.874573739999999,-2.281324212000000,3.492340565000000,2.176342726000000,-0.109806372000000,29.182498570000000,-94.976238890000005,29.182357249999999,-94.976001839999995,2016,Not_at_edge,Y,T,14.000000000000000,Y
7537,26049,561305,4198-0001-0014-000,126.3489990,26050_29.1821028_-94.976895_0_309.21.jpg,qEDHwsexkznIcLRmb1fESw,26050,0.874512000000000,602,299,141,6.755856307000000,4.526461394000000,18.626474519999999,1.079246314000000,3.447215080000000,2.229394913000000,0.151641509000000,29.182102799999999,-94.976894999999999,29.182227489999999,-94.977023389999999,2016,Not_at_edge,Y,T,14.000000000000000,N
7538,26058,561314,4198-0001-0001-000,143.2109985,26059_29.1821028_-94.976895_0_144.21.jpg,qEDHwsexkznIcLRmb1fESw,26059,0.837891000000000,670,590,419,3.233527227000000,1.004132314000000,17.247553589999999,-2.443082766000000,3.447215080000000,2.229394913000000,0.196978616000000,29.182102820000001,-94.976895020000001,29.181961229999999,-94.976821479999998,2016,Not_at_edge,Y,T,14.000000000000000,Y
7539,26130,561386,4130-0003-0073-000,293.9460144,26131_29.178701_-95.0020383_0_247.71.jpg,v2EOaU-_4ARdlJ2EKZB8Bw,26131,0.729004000000000,57,327,253,6.499502590000000,5.078740886000000,40.320990299999998,1.536220601000000,3.542520285000000,1.420761704000000,-0.224003195000000,29.178701000000000,-95.002038299999995,29.178491699999999,-95.002377339999995,2013,Not_at_edge,Y,T,15.000000000000000,N
7540,26137,561393,4130-0003-0075-000,283.5880127,26138_29.1774932_-95.0008543_0_240.57.jpg,yKWI9dfVmXFAE9F8Tjdrwg,26138,0.293213000000000,619,334,238,5.895636157000000,4.497975186000000,30.708979840000001,1.057288960000000,3.440686226000000,1.397660971000000,0.162533049000000,29.177493200000001,-95.000854300000000,29.177397910000000,-95.001150740000000,2013,Not_at_edge,Y,T,14.000000000000000,N
7541,26141,561397,4130-0003-0061-000,222.9689941,26142_29.1762117_-94.9999661_0_55.39.jpg,juXCMBujvZ_Lr3p9dERj1Q,26142,0.490723000000000,388,355,240,5.577030482000000,3.953183951000000,25.297517310000000,0.511905970000000,3.441277981000000,1.623846531000000,0.003139818000000,29.176211700000000,-94.999966099999995,29.176340750000001,-94.999751590000002,2013,Not_at_edge,Y,T,14.000000000000000,N
7542,26160,561416,4130-0003-0085-000,165.2749939,26161_29.1750773_-94.9990868_0_220.32.jpg,hWMEEcNM7Gh_ufN6CWHKjw,26161,0.605469000000000,719,326,230,6.264702218000000,4.692568319000000,31.121194259999999,1.205316560000000,3.487251759000000,1.572133899000000,0.229634449000000,29.175077300000002,-94.999086800000001,29.174910199999999,-94.999343900000000,2013,Not_at_edge,Y,T,14.000000000000000,N
7543,26176,561432,4132-0003-0026-000,156.7749939,26177_29.1742337_-94.995866_0_55.77.jpg,fZl1nQfXp4G6Y9_eZTCWzQ,26177,0.890137000000000,116,295,165,6.403465672000000,4.833922787000000,22.765008739999999,1.374154492000000,3.459768295000000,1.569542885000000,-0.184533609000000,29.174233699999998,-94.995866000000007,29.174378430000001,-94.995699950000002,2013,Not_at_edge,Y,T,14.000000000000000,N
7544,26200,561456,4130-0003-0114-000,213.2140045,26201_29.1731691_-95.0026082_0_354.08.jpg,V9mOXNq5m8zWt_Kgql1PyA,26201,0.342773000000000,186,325,210,5.610978694000000,4.531913610000000,25.537695560000000,1.023825498000000,3.508088112000000,1.079065084000000,-0.137291873000000,29.173169099999999,-95.002608199999997,29.173392870000001,-95.002670760000001,2013,Not_at_edge,Y,T,15.000000000000000,N
